Types h5 p dl table: 100
StatIncrease => 
	split('chance to') => get Chance
4.7.5.11	All Stats % Increase
4.7.5.12	Ignores 5% of Monster's DEF when attacking.
4.7.5.13	STR +2 per 10 Character Levels
4.7.5.14	DEX +2 per 10 Character Levels
4.7.5.15	INT +2 per 10 Character Levels
4.7.5.16	LUK +2 per 10 Character Levels
4.7.5.17	Weapon ATT +1 per 10 Character Levels
4.7.5.18	Magic ATT +1 per 10 Character Levels
4.8	Secondary Weapon
4.8.1	Rare (Non-prime)
4.8.1.1	STR Increase
4.8.1.2	DEX Increase
4.8.1.3	INT Increase
4.8.1.4	LUK Increase
4.8.1.5	Weapon ATT Increase
4.8.1.6	Magic ATT Increase
4.8.1.7	Speed Increase
4.8.1.8	Jump Increase
4.8.1.9	MaxHP Increase
4.8.1.10	MaxMP Increase
4.8.1.11	DEF Increase
4.8.2	Rare (Prime) / Epic (Non-prime)
4.8.2.1	STR Increase
4.8.2.2	DEX Increase
4.8.2.3	INT Increase
4.8.2.4	LUK Increase
4.8.2.5	Weapon ATT Increase
4.8.2.6	Magic ATT Increase
4.8.2.7	MaxHP Increase
4.8.2.8	MaxMP Increase
4.8.2.9	DEF Increase
4.8.2.10	Speed Increase
4.8.2.11	Jump Increase
4.8.2.12	STR % Increase
4.8.2.13	DEX % Increase
4.8.2.14	INT % Increase
4.8.2.15	LUK % Increase
4.8.2.16	Weapon ATT % Increase
4.8.2.17	Magic ATT % Increase
4.8.2.18	Damage % Increase
4.8.2.19	MaxHP % Increase
4.8.2.20	MaxMP % Increase
4.8.2.21	Critical Rate % Increase
4.8.2.22	All Stats Increase
4.8.3	Epic (Prime) / Unique (Non-prime)
4.8.3.1	STR % Increase
4.8.3.2	DEX % Increase
4.8.3.3	INT % Increase
4.8.3.4	LUK % Increase
4.8.3.5	Weapon ATT % Increase
4.8.3.6	Magic ATT % Increase
4.8.3.7	Damage % Increase
4.8.3.8	Critical Rate % Increase
4.8.3.9	MaxHP % Increase
4.8.3.10	MaxMP % Increase
4.8.3.11	All Stats % Increase
4.8.3.12	3% chance to recover HP when attacking.
4.8.3.13	3% chance to recover MP when attacking.
4.8.3.14	Ignore 3% of Monster's DEF when attacking.
4.8.4	Unique (Prime) / Legendary (Non-prime)
4.8.4.1	STR % Increase
4.8.4.2	DEX % Increase
4.8.4.3	INT % Increase
4.8.4.4	LUK % Increase
4.8.4.5	Weapon ATT % Increase
4.8.4.6	Magic ATT % Increase
4.8.4.7	Damage % Increase
4.8.4.8	Critical Rate % Increase
4.8.4.9	MaxHP % Increase
4.8.4.10	MaxMP % Increase
4.8.4.11	All Stats % Increase
4.8.4.12	Damage to Boss Monsters +12%
4.8.4.13	Ignore 4% of Monster's DEF when attacking.
4.8.4.14	15% chance to recover HP when attacking.
4.8.4.15	15% chance to recover MP when attacking.
4.8.4.16	STR +1 per 10 Character Levels
4.8.4.17	DEX +1 per 10 Character Levels
4.8.4.18	INT +1 per 10 Character Levels
4.8.4.19	LUK +1 per 10 Character Levels
4.8.5	Legendary (Prime)
4.8.5.1	STR % Increase
4.8.5.2	DEX % Increase
4.8.5.3	INT % Increase
4.8.5.4	LUK % Increase
4.8.5.5	Weapon ATT % Increase
4.8.5.6	Magic ATT % Increase
4.8.5.7	Damage % Increase
4.8.5.8	Critical Rate % Increase
4.8.5.9	MaxHP % Increase
4.8.5.10	MaxMP % Increase
4.8.5.11	All Stats % Increase
4.8.5.12	Critical Damage % Increase
4.8.5.13	Damage to Boss Monsters +18%
4.8.5.14	Ignores 5% of Monster's DEF when attacking.
4.8.5.15	STR +2 per 10 Character Levels
4.8.5.16	DEX +2 per 10 Character Levels
4.8.5.17	INT +2 per 10 Character Levels
4.8.5.18	LUK +2 per 10 Character Levels
4.8.5.19	Weapon ATT +1 per 10 Character Levels
4.8.5.20	Magic ATT +1 per 10 Character Levels
